2025-01-30 21:41:42.912 [warning] Dir "/workspace/project-4/.pixi/envs" is not watchable (directory does not exist)
2025-01-30 21:41:42.912 [info] Python interpreter path: ~/.pyenv/shims/python
2025-01-30 21:41:43.153 [info] > ~/.pyenv/bin/pyenv which python
2025-01-30 21:41:43.153 [info] cwd: .
2025-01-30 21:41:44.531 [info] Starting Jedi language server for project-4.
2025-01-30 21:44:17.773 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:44:23.144 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:44:27.161 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:44:34.383 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:44:38.565 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:44:49.728 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:44:51.495 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:44:53.937 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:45:03.138 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:45:17.648 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:45:30.631 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:45:36.008 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:45:47.789 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/models.py
2025-01-30 21:46:57.163 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:47:14.905 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:47:21.549 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:47:28.329 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:47:30.349 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:47:37.263 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:47:40.609 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:47:41.853 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:47:47.996 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/forms.py
2025-01-30 21:48:02.464 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:06.727 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:12.362 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:16.709 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:23.538 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:27.391 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:28.790 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:36.251 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:39.232 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:45.064 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:47.080 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:50.535 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:52.832 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:48:57.599 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:11.942 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:18.168 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:20.486 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:24.822 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:28.588 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:30.346 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:34.816 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:40.334 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:44.790 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:52.133 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:55.898 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:49:59.947 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:50:06.963 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
2025-01-30 21:50:09.824 [info] Discover tests for workspace name: project-4 - uri: /workspace/project-4/thai_massage/booking/views.py
